_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
91,C9E,,3.0,0.0,1.053990725427866,,,,,,,,,,,
92,bdb,Barcelona,12346.0,3.0,0.7522662878036499,,,,,,,,,,,
93,223,,1.0,4518.0,0.6833617985248566,,,,,,,,,,,
94,4d9,,1.0,0.0,0.0,,,,,,,,,,,
95,A65,,1.0,0.0,0.0,,,,,,,,,,,
96,95D,"Recife, Pernambuco",114.0,1130.0,0.7713942527770996,,,,,,,,,,,
97,108,"New York, NY",47407.0,9068.0,1.1409001797437668,,,,,,,,,,,
98,237,"Tel-Aviv, Israel",59.0,0.0,1.0036178287118673,,,,,,,,,,,
99,f38,,1.0,0.0,0.0,,,,,,,,,,,
100,921,tokyo,17842.0,850.0,0.9739019945263863,,,,,,,,,,,
101,93D,,61.0,749.0,1.0745248571038246,,,,,,,,,,,
102,D31,,12.0,0.0,0.7552345395088196,,,,,,,,,,,
103,7B8,Riyadh,7.0,0.0,0.7108873426914215,,,,,,,,,,,
104,41F,,4.0,0.0,1.2066848278045654,,,,,,,,,,,
105,f48,,11.0,0.0,0.862590491771698,,,,,,,,,,,
106,3b5,Somewhere in this world,364.0,10.0,0.8862604200839996,,,,,,,,,,,
107,64e,world,2303.0,583.0,0.9235458374023438,,,,,,,,,,,
108,314,,2.0,0.0,0.0,,,,,,,,,,,
109,8fe,,73.0,9.0,1.0952283814549446,,,,,,,,,,,
110,d3d,,13.0,0.0,0.9397487416863441,,,,,,,,,,,
111,815,,1.0,0.0,0.0,,,,,,,,,,,
112,b7e,,2.0,10.0,0.0,,,,,,,,,,,
113,FC8,,180.0,0.0,1.0348711609840393,,,,,,,,,,,
114,B79,"Temple, TX",1717.0,12551.0,1.1598817110061646,,,,,,,,,,,
115,69b,,1.0,0.0,0.8859398365020752,,,,,,,,,,,
116,47a,puerto cabello,11.0,0.0,1.2065602838993073,,,,,,,,,,,
117,D3A,"Querétaro, Mexico",8214.0,2528.0,0.8862604200839996,,,,,,,,,,,
118,804,Richmond VA,13.0,0.0,0.9949068576097488,,,,,,,,,,,
119,e42,,3.0,0.0,0.0,,,,,,,,,,,
120,6E4,"الرياض, المملكة العربية السعودية",46819.0,2917.0,1.061132788658142,,,,,,,,,,,
121,33c,,1.0,0.0,0.0,,,,,,,,,,,
122,Ab8,,14.0,0.0,0.9797156434506178,,,,,,,,,,,
123,15a,"Verspreide huizen Epse, Lochem",1198.0,10.0,0.9448201581835747,,,,,,,,,,,
124,901,Santiago Centro,160.0,0.0,1.1591545790433884,,,,,,,,,,,
125,cd2,,1.0,0.0,1.3512347340583801,,,,,,,,,,,
126,570,"Williamsport, PA",31.0,0.0,0.9350884333252907,,,,,,,,,,,
127,5ea,,16.0,0.0,0.9643497280776501,,,,,,,,,,,
128,B25,,5.0,0.0,1.0191331803798676,,,,,,,,,,,
129,90a,,2.0,0.0,0.8393715023994446,,,,,,,,,,,
130,A94,,2.0,0.0,0.0,,,,,,,,,,,
131,Dea,"La Guaira, Venezuela",1187.0,723.0,0.9490040764212608,,,,,,,,,,,
132,694,"Oslo, Norway",1.0,0.0,1.0216000489890575,,,,,,,,,,,
133,8d6,,3.0,0.0,1.021403543651104,,,,,,,,,,,
134,F03,,3.0,0.0,0.6841254234313965,,,,,,,,,,,
135,ccc,,839.0,0.0,1.2378453612327576,,,,,,,,,,,
